epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4144,0.45188,1.1493,0.99284,0.9017,0.60191,0.71647,0.67465,0.372,0.72328,0.80866,0.000127423,0.000127423,0.000127423
2,118.715,0.40093,0.84621,0.94495,0.81983,0.60407,0.7197,0.66964,0.40159,0.6626,0.82786,0.000250693,0.000250693,0.000250693
3,173.618,0.40303,0.80866,0.93567,0.79476,0.52137,0.67182,0.61546,0.39445,0.78039,0.81652,0.00036888,0.00036888,0.00036888
4,229.775,0.40458,0.82221,0.93403,0.8536,0.68632,0.75837,0.70227,0.3886,0.58275,0.80579,0.000362131,0.000362131,0.000362131
5,286.179,0.39839,0.807,0.93599,0.60743,0.71645,0.7436,0.68476,0.42067,0.69801,0.83423,0.000354508,0.000354508,0.000354508
6,339.791,0.3861,0.76523,0.93257,0.83032,0.61712,0.75559,0.70591,0.36459,0.53737,0.77564,0.000346885,0.000346885,0.000346885
7,396.522,0.37979,0.74553,0.9249,0.69203,0.52924,0.64807,0.54673,0.7063,1.01868,1.10249,0.000339262,0.000339262,0.000339262
8,449.547,0.37804,0.72038,0.92089,0.86124,0.67428,0.77751,0.73243,0.36682,0.57982,0.7792,0.000331639,0.000331639,0.000331639
9,506.588,0.37304,0.69588,0.91633,0.81804,0.74574,0.7992,0.7521,0.3658,0.52036,0.79911,0.000324016,0.000324016,0.000324016
10,539.84,0.36859,0.68613,0.91638,0.85688,0.70019,0.80532,0.75807,0.37787,0.55626,0.79908,0.000316393,0.000316393,0.000316393
11,600.127,0.36872,0.66727,0.91575,0.85907,0.60861,0.76365,0.71877,0.36919,0.64413,0.81117,0.00030877,0.00030877,0.00030877
12,689.742,0.36415,0.68215,0.91734,0.83171,0.70223,0.77492,0.72046,0.38071,0.58925,0.81016,0.000301147,0.000301147,0.000301147
13,781.564,0.35859,0.6821,0.91274,0.86025,0.61268,0.77793,0.72873,0.35186,0.52962,0.76523,0.000293524,0.000293524,0.000293524
14,845.273,0.35627,0.65229,0.90741,0.85937,0.65291,0.80893,0.7578,0.36592,0.48273,0.79292,0.000285901,0.000285901,0.000285901
15,917.653,0.34909,0.63303,0.90947,0.85792,0.74333,0.80616,0.7486,0.36735,0.50145,0.79939,0.000278278,0.000278278,0.000278278
16,1005.23,0.34482,0.61999,0.90277,0.8697,0.75472,0.84204,0.79051,0.34528,0.47395,0.78354,0.000270655,0.000270655,0.000270655
17,1095.59,0.34283,0.60706,0.90404,0.74245,0.76816,0.81381,0.76161,0.37098,0.48538,0.79587,0.000263032,0.000263032,0.000263032
18,1186.39,0.34911,0.60413,0.90608,0.88662,0.77109,0.84931,0.79721,0.37119,0.46477,0.81383,0.000255409,0.000255409,0.000255409
19,1273.68,0.33192,0.58735,0.89781,0.85461,0.81321,0.85017,0.80755,0.32911,0.4109,0.77372,0.000247786,0.000247786,0.000247786
20,1366.08,0.33487,0.60283,0.89874,0.82223,0.80285,0.84947,0.79806,0.33752,0.45155,0.76932,0.000240163,0.000240163,0.000240163
21,1457.28,0.33267,0.58273,0.89424,0.91697,0.77218,0.8557,0.80282,0.33723,0.49267,0.772,0.00023254,0.00023254,0.00023254
22,1546.29,0.33113,0.5621,0.89689,0.78776,0.76201,0.823,0.78058,0.33127,0.43405,0.76492,0.000224917,0.000224917,0.000224917
23,1634.49,0.32237,0.54875,0.89089,0.91841,0.72234,0.83169,0.7761,0.33582,0.41541,0.76813,0.000217294,0.000217294,0.000217294
24,1726.08,0.32505,0.55173,0.89363,0.77449,0.8309,0.85883,0.79015,0.35628,0.41958,0.8034,0.000209671,0.000209671,0.000209671
25,1814.79,0.32811,0.55359,0.89557,0.92584,0.74634,0.85036,0.80236,0.33086,0.39906,0.76565,0.000202048,0.000202048,0.000202048
26,1907.21,0.31607,0.55315,0.89176,0.91301,0.83163,0.88306,0.82993,0.33732,0.39004,0.79014,0.000194425,0.000194425,0.000194425
27,1993.63,0.32176,0.53339,0.89258,0.80664,0.85036,0.87981,0.82585,0.32973,0.36374,0.78672,0.000186802,0.000186802,0.000186802
28,2085.11,0.31271,0.5278,0.89136,0.90402,0.81677,0.87828,0.83057,0.31991,0.40518,0.76297,0.000179179,0.000179179,0.000179179
29,2176.96,0.30787,0.51366,0.88429,0.90513,0.72203,0.85264,0.80553,0.35198,0.48163,0.79176,0.000171556,0.000171556,0.000171556
30,2267.36,0.30707,0.49531,0.88591,0.84536,0.81009,0.87121,0.81862,0.32547,0.46036,0.77228,0.000163933,0.000163933,0.000163933
31,2357.69,0.30796,0.49832,0.88194,0.93217,0.73059,0.86184,0.81507,0.31369,0.38459,0.74713,0.00015631,0.00015631,0.00015631
32,2449.42,0.31024,0.50062,0.88083,0.89447,0.79102,0.87006,0.8174,0.3423,0.36824,0.75948,0.000148687,0.000148687,0.000148687
33,2538.02,0.30678,0.50079,0.88157,0.90005,0.821,0.88089,0.8364,0.31295,0.3583,0.75443,0.000141064,0.000141064,0.000141064
34,2627.92,0.29603,0.47928,0.88157,0.91096,0.78806,0.87124,0.82597,0.30208,0.37859,0.74948,0.000133441,0.000133441,0.000133441
35,2719.21,0.29619,0.48117,0.88033,0.90444,0.80004,0.87803,0.82719,0.31859,0.36715,0.75721,0.000125818,0.000125818,0.000125818
36,2808.38,0.29234,0.46789,0.87375,0.86491,0.80082,0.87626,0.82645,0.31884,0.37352,0.77149,0.000118195,0.000118195,0.000118195
37,2899.94,0.2932,0.4721,0.87796,0.85096,0.75326,0.84166,0.79766,0.32649,0.44174,0.77609,0.000110572,0.000110572,0.000110572
38,2985.8,0.29115,0.45632,0.87602,0.93844,0.79246,0.877,0.82562,0.32654,0.39287,0.7878,0.000102949,0.000102949,0.000102949
39,3077.42,0.29127,0.45479,0.87894,0.92387,0.81453,0.88086,0.8333,0.31679,0.36484,0.77388,9.5326e-05,9.5326e-05,9.5326e-05
40,3168.46,0.28547,0.45155,0.87788,0.933,0.82957,0.89241,0.84544,0.32335,0.3776,0.77785,8.7703e-05,8.7703e-05,8.7703e-05
41,3260.99,0.25123,0.29588,0.85164,0.91765,0.85098,0.9024,0.86332,0.30331,0.31659,0.75447,8.008e-05,8.008e-05,8.008e-05
42,3349.18,0.24529,0.25989,0.85184,0.93266,0.81635,0.89097,0.84445,0.30554,0.31417,0.76163,7.2457e-05,7.2457e-05,7.2457e-05
43,3440.44,0.23859,0.24076,0.84369,0.90147,0.85273,0.89801,0.85044,0.3123,0.28933,0.7693,6.4834e-05,6.4834e-05,6.4834e-05
44,3528.98,0.23577,0.24143,0.8445,0.89608,0.8602,0.90364,0.86029,0.31161,0.30942,0.76655,5.7211e-05,5.7211e-05,5.7211e-05
45,3616.61,0.23674,0.24205,0.84522,0.9467,0.80753,0.89523,0.84677,0.31902,0.30526,0.77633,4.9588e-05,4.9588e-05,4.9588e-05
46,3705.17,0.23117,0.22173,0.84416,0.89533,0.80329,0.88775,0.83692,0.31542,0.29903,0.76056,4.1965e-05,4.1965e-05,4.1965e-05
47,3795.82,0.23184,0.21528,0.84005,0.93816,0.81245,0.90331,0.85697,0.30855,0.29104,0.7533,3.4342e-05,3.4342e-05,3.4342e-05
48,3886.09,0.2262,0.21105,0.83408,0.92364,0.80048,0.88568,0.8466,0.30518,0.29024,0.75326,2.6719e-05,2.6719e-05,2.6719e-05
49,3963.15,0.2213,0.20054,0.83585,0.9429,0.81166,0.90061,0.85671,0.3041,0.28541,0.75579,1.9096e-05,1.9096e-05,1.9096e-05
50,4015.35,0.22057,0.20563,0.83727,0.93927,0.79522,0.88273,0.84007,0.30335,0.2921,0.75708,1.1473e-05,1.1473e-05,1.1473e-05
