annotator,applies_to,created_at,id,image,label,lead_time,updated_at
1,,2026-04-25T17:26:00.325704Z,2663,/data/local-files/?d=alloy_elsevier_contents/img1000.jpg,"[{""x"":0,""y"":3.205300466903828e-15,""width"":99.99999999999999,""height"":55.41327124563442,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2754,""original_height"":2643},{""x"":47.594024838089744,""y"":56.81024447031435,""width"":44.46566280415822,""height"":43.18975552968565,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":2754,""original_height"":2643},{""x"":0.7820564521242459,""y"":56.81024447031433,""width"":44.46566280415822,""height"":43.18975552968565,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2754,""original_height"":2643}]",136.527,2026-04-25T17:26:00.325725Z
1,,2026-04-25T17:26:20.593366Z,2664,/data/local-files/?d=alloy_elsevier_contents/img101.jpg,"[{""x"":1.2333965844402277,""y"":1.4210495362985738,""width"":97.53320683111954,""height"":98.47873286549117,""rotation"":0,""rectanglelabels"":[""single""],""original_width"":2368,""original_height"":1581}]",16.094,2026-04-25T17:26:20.593387Z
1,,2026-04-25T17:23:40.030340Z,2665,/data/local-files/?d=alloy_elsevier_contents/img1016.jpg,"[{""x"":0,""y"":0,""width"":32.92753947177055,""height"":31.279673137335028,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3159,""original_height"":2530},{""x"":33.402025908730934,""y"":0,""width"":32.83263110638148,""height"":30.92422096391429,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3159,""original_height"":2530},{""x"":66.99366483618435,""y"":0,""width"":33.00633516381558,""height"":31.042635632124277,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3159,""original_height"":2530},{""x"":67.45235616904796,""y"":32.227487183431776,""width"":32.54764383095205,""height"":31.51679003715444,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":3159,""original_height"":2530},{""x"":0,""y"":32.34597156398099,""width"":33.02210565014139,""height"":31.516790037154447,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3159,""original_height"":2530},{""x"":33.49700443476771,""y"":31.872034041784147,""width"":32.54764383095205,""height"":31.51679003715444,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":3159,""original_height"":2530},{""x"":66.13997144055185,""y"":64.81041008042652,""width"":32.35807635510625,""height"":35.18958991957347,""rotation"":0,""rectanglelabels"":[""I""],""original_width"":3159,""original_height"":2530},{""x"":0.1897785732329644,""y"":65.28434760262334,""width"":32.35807635510624,""height"":34.715652397376644,""rotation"":0,""rectanglelabels"":[""G""],""original_width"":3159,""original_height"":2530},{""x"":32.92764409729773,""y"":64.81041008042652,""width"":32.35807635510625,""height"":35.18958991957347,""rotation"":0,""rectanglelabels"":[""H""],""original_width"":3159,""original_height"":2530}]",253.742,2026-04-25T17:23:40.030362Z
1,,2026-04-25T17:27:12.749250Z,2666,/data/local-files/?d=alloy_elsevier_contents/img1018.jpg,"[{""x"":0.11803471222164993,""y"":2.5849197313740548e-17,""width"":99.88196528777831,""height"":49.24330616996508,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2371,""original_height"":2404},{""x"":0,""y"":50.40744398091343,""width"":99.99999999999991,""height"":49.592556019086544,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2371,""original_height"":2404}]",47.733,2026-04-25T17:27:12.749272Z
1,,2026-04-25T17:30:22.159132Z,2667,/data/local-files/?d=alloy_elsevier_contents/img1019.jpg,"[{""x"":0,""y"":2.222513380807033e-15,""width"":33.14553990610325,""height"":48.25917530499455,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3158,""original_height"":1659},{""x"":33.42723004694833,""y"":0,""width"":31.549295774647828,""height"":48.97412605025371,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3158,""original_height"":1659},{""x"":66.85446009389653,""y"":0,""width"":33.145539906103316,""height"":48.25917530499444,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3158,""original_height"":1659},{""x"":0,""y"":50.404027540771814,""width"":33.14553990610325,""height"":47.365486873420515,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3158,""original_height"":1659},{""x"":33.333333333333265,""y"":51.118978286031044,""width"":31.737089201877943,""height"":48.881021713968856,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":3158,""original_height"":1659},{""x"":66.85446009389678,""y"":49.86781448182763,""width"":33.14553990610315,""height"":48.616650677624165,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":3158,""original_height"":1659}]",219.16199999999998,2026-04-30T10:36:05.658965Z
1,,2026-04-30T10:37:50.582729Z,2668,/data/local-files/?d=alloy_elsevier_contents/img102.jpg,"[{""x"":0,""y"":0,""width"":99.99999999999996,""height"":100.00000000000003,""rotation"":0,""rectanglelabels"":[""single""],""original_width"":3548,""original_height"":956}]",258.437,2026-04-30T10:37:50.582751Z
1,,2026-04-25T17:32:37.453391Z,2669,/data/local-files/?d=alloy_elsevier_contents/img1023.jpg,"[{""x"":0.20100873541445483,""y"":0.5361930294906166,""width"":32.83142678436095,""height"":48.92761394101876,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":3159,""original_height"":1579},{""x"":33.19287195975386,""y"":0.8580990632676857,""width"":32.83142678436094,""height"":48.65951742627346,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":3159,""original_height"":1579},{""x"":66.76056338028164,""y"":0,""width"":33.23943661971834,""height"":50.15672247544798,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":3159,""original_height"":1579},{""x"":0,""y"":50.15626345108151,""width"":33.05164319248828,""height"":49.843736548918486,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":3159,""original_height"":1579},{""x"":33.4272300469483,""y"":50.15653691240626,""width"":33.14553990610328,""height"":49.84346308759375,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":3159,""original_height"":1579},{""x"":66.94835680751171,""y"":50.34411146101009,""width"":33.05164319248825,""height"":49.65588853898974,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":3159,""original_height"":1579}]",181.52700000000002,2026-04-25T17:33:00.996002Z
1,,2026-04-30T10:39:13.340024Z,2670,/data/local-files/?d=alloy_elsevier_contents/img1024.jpg,"[{""x"":4.145956190630565e-14,""y"":51.50970269685906,""width"":99.99999999999996,""height"":48.49029730314091,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":1722,""original_height"":1280},{""x"":2.1572454975638716e-14,""y"":0,""width"":99.99999999999996,""height"":49.894335982965714,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":1722,""original_height"":1280}]",78.064,2026-04-30T10:39:13.340064Z
1,,2026-04-30T10:45:42.159302Z,2671,/data/local-files/?d=alloy_elsevier_contents/img1026.jpg,"[{""x"":67.22608056625594,""y"":0,""width"":32.57528917395947,""height"":29.336548013745812,""rotation"":0,""rectanglelabels"":[""C""],""original_width"":2764,""original_height"":2358},{""x"":0.29794538967687273,""y"":0,""width"":32.77391943374407,""height"":29.336548013745823,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2764,""original_height"":2358},{""x"":33.568513903594344,""y"":0,""width"":32.87323456363633,""height"":29.336548013745816,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2764,""original_height"":2358},{""x"":0,""y"":29.802245947722376,""width"":99.99999999999979,""height"":19.790556834107864,""rotation"":0,""rectanglelabels"":[""unlabel""],""original_width"":2764,""original_height"":2358},{""x"":66.92808106973868,""y"":50.407365465494955,""width"":33.071918930261326,""height"":28.870983742922085,""rotation"":0,""rectanglelabels"":[""F""],""original_width"":2764,""original_height"":2358},{""x"":8.881784197001252e-16,""y"":50.87302694588436,""width"":33.071918930261326,""height"":28.870983742922085,""rotation"":0,""rectanglelabels"":[""D""],""original_width"":2764,""original_height"":2358},{""x"":33.46919877370204,""y"":50.75661157578701,""width"":33.071918930261326,""height"":28.870983742922085,""rotation"":0,""rectanglelabels"":[""E""],""original_width"":2764,""original_height"":2358},{""x"":0,""y"":79.86026155040778,""width"":99.99999999999996,""height"":20.13973844959221,""rotation"":0,""rectanglelabels"":[""unlabel""],""original_width"":2764,""original_height"":2358}]",385.648,2026-04-30T10:45:42.159322Z
1,,2026-05-01T13:05:10.343099Z,2672,/data/local-files/?d=alloy_elsevier_contents/img1027.jpg,"[{""x"":50.512947003865996,""y"":2.3092638912203256e-14,""width"":49.487052996134004,""height"":99.99999999999996,""rotation"":0,""rectanglelabels"":[""B""],""original_width"":2765,""original_height"":1123},{""x"":0,""y"":0,""width"":49.487052996134004,""height"":99.99999999999997,""rotation"":0,""rectanglelabels"":[""A""],""original_width"":2765,""original_height"":1123}]",32.394,2026-05-01T13:05:10.343122Z
